prompt_id,left_model,right_model,left_phase,right_phase,left_repetition,right_repetition,left_row_index,right_row_index,pair_type,cosine_similarity
factual_001,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,0,100,cross-model agreement,0.9573295061001905
factual_001,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,0,200,cross-model agreement,0.9627414462486573
factual_001,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,1,0,300,cold-to-warm consistency,0.8036830111507904
factual_001,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,1,0,400,cross-model agreement,0.763769980315218
factual_001,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,1,0,500,cross-model agreement,0.7656262328039859
factual_001,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,2,0,600,cold-to-warm consistency,0.8287499144591943
factual_001,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,2,0,700,cross-model agreement,0.787395961980129
factual_001,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,2,0,800,cross-model agreement,0.7900291906127168
factual_001,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,100,200,cross-model agreement,0.9567365936663089
factual_001,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,1,100,300,cross-model agreement,0.7634701091090543
factual_001,gpt-5.4,gpt-5.4,cold,warm,0,1,100,400,cold-to-warm consistency,0.8068590386188341
factual_001,gpt-5.4,gpt-4.1-mini,cold,warm,0,1,100,500,cross-model agreement,0.7612141238258913
factual_001,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,2,100,600,cross-model agreement,0.7874262303747763
factual_001,gpt-5.4,gpt-5.4,cold,warm,0,2,100,700,cold-to-warm consistency,0.8315970695504946
factual_001,gpt-5.4,gpt-4.1-mini,cold,warm,0,2,100,800,cross-model agreement,0.7854675554169733
factual_001,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,1,200,300,cross-model agreement,0.765920836735693
factual_001,gpt-4.1-mini,gpt-5.4,cold,warm,0,1,200,400,cross-model agreement,0.7618061301899219
factual_001,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,1,200,500,cold-to-warm consistency,0.8005716658470459
factual_001,gpt-4.1-mini,DeepSeek-V4-Flash,cold,warm,0,2,200,600,cross-model agreement,0.7899994140722854
factual_001,gpt-4.1-mini,gpt-5.4,cold,warm,0,2,200,700,cross-model agreement,0.7854077588406754
factual_001,gpt-4.1-mini,gpt-4.1-mini,cold,warm,0,2,200,800,cold-to-warm consistency,0.8259582554677314
factual_001,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,300,400,cross-model agreement,0.9593314850696337
factual_001,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,300,500,cross-model agreement,0.9645169956974476
factual_001,DeepSeek-V4-Flash,DeepSeek-V4-Flash,warm,warm,1,2,300,600,within-model repeat,0.8117615958744044
factual_001,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,2,300,700,cross-model agreement,0.7713741681338647
factual_001,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,2,300,800,cross-model agreement,0.7739915453303168
factual_001,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,400,500,cross-model agreement,0.9587777526084167
factual_001,gpt-5.4,DeepSeek-V4-Flash,warm,warm,1,2,400,600,cross-model agreement,0.7717068079943162
factual_001,gpt-5.4,gpt-5.4,warm,warm,1,2,400,700,within-model repeat,0.8148129050148004
factual_001,gpt-5.4,gpt-4.1-mini,warm,warm,1,2,400,800,cross-model agreement,0.7698173886897813
factual_001,gpt-4.1-mini,DeepSeek-V4-Flash,warm,warm,1,2,500,600,cross-model agreement,0.7736646762258478
factual_001,gpt-4.1-mini,gpt-5.4,warm,warm,1,2,500,700,cross-model agreement,0.7691605970972362
factual_001,gpt-4.1-mini,gpt-4.1-mini,warm,warm,1,2,500,800,within-model repeat,0.8087722322022605
factual_001,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,600,700,cross-model agreement,0.9571335438921881
factual_001,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,2,2,600,800,cross-model agreement,0.9625675001387951
factual_001,gpt-5.4,gpt-4.1-mini,warm,warm,2,2,700,800,cross-model agreement,0.9565367349363014
factual_002,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,1,101,cross-model agreement,0.9717795431353334
factual_002,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,1,201,cross-model agreement,0.9754957702775844
factual_002,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,1,1,301,cold-to-warm consistency,0.8694458186003174
factual_002,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,1,1,401,cross-model agreement,0.8424552216752025
factual_002,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,1,1,501,cross-model agreement,0.844581253830549
factual_002,DeepSeek-V4-Flash,DeepSeek-V4-Flash,cold,warm,0,2,1,601,cold-to-warm consistency,0.8871827352008934
factual_002,DeepSeek-V4-Flash,gpt-5.4,cold,warm,0,2,1,701,cross-model agreement,0.8595353880293667
factual_002,DeepSeek-V4-Flash,gpt-4.1-mini,cold,warm,0,2,1,801,cross-model agreement,0.8620471489781366
factual_002,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,101,201,cross-model agreement,0.9714439663730767
factual_002,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,1,101,301,cross-model agreement,0.8423082738931705
factual_002,gpt-5.4,gpt-5.4,cold,warm,0,1,101,401,cold-to-warm consistency,0.8708578405453294
factual_002,gpt-5.4,gpt-4.1-mini,cold,warm,0,1,101,501,cross-model agreement,0.8412299472754664
factual_002,gpt-5.4,DeepSeek-V4-Flash,cold,warm,0,2,101,601,cross-model agreement,0.8595498095473759
factual_002,gpt-5.4,gpt-5.4,cold,warm,0,2,101,701,cold-to-warm consistency,0.8884254479621442
factual_002,gpt-5.4,gpt-4.1-mini,cold,warm,0,2,101,801,cross-model agreement,0.8586230142825771
