prompt_id,left_model,right_model,left_phase,right_phase,left_repetition,right_repetition,left_row_index,right_row_index,pair_type,cosine_similarity,model_pair,embedding_correlation,run_label,run_order
factual_001,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,0,100,cross-model agreement,0.9573295061001905,DeepSeek-V4-Flash vs gpt-5.4,0.9567063635314703,Cold 0,0
factual_001,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,0,200,cross-model agreement,0.9627414462486573,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9621992494880233,Cold 0,0
factual_001,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,100,200,cross-model agreement,0.9567365936663089,gpt-4.1-mini vs gpt-5.4,0.9560981692324673,Cold 0,0
factual_001,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,300,400,cross-model agreement,0.9593314850696337,DeepSeek-V4-Flash vs gpt-5.4,0.9586776035591646,Warm 1,1
factual_001,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,300,500,cross-model agreement,0.9645169956974476,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9639482168666053,Warm 1,1
factual_001,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,400,500,cross-model agreement,0.9587777526084167,gpt-4.1-mini vs gpt-5.4,0.9581084112342215,Warm 1,1
factual_001,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,600,700,cross-model agreement,0.9571335438921881,DeepSeek-V4-Flash vs gpt-5.4,0.9565376742970505,Warm 2,2
factual_001,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,2,2,600,800,cross-model agreement,0.9625675001387951,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9620491722924096,Warm 2,2
factual_001,gpt-5.4,gpt-4.1-mini,warm,warm,2,2,700,800,cross-model agreement,0.9565367349363014,gpt-4.1-mini vs gpt-5.4,0.955926145140061,Warm 2,2
factual_002,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,1,101,cross-model agreement,0.9717795431353334,DeepSeek-V4-Flash vs gpt-5.4,0.9714263314426901,Cold 0,0
factual_002,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,1,201,cross-model agreement,0.9754957702775844,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9751906507684067,Cold 0,0
factual_002,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,101,201,cross-model agreement,0.9714439663730767,gpt-4.1-mini vs gpt-5.4,0.9710837090347063,Cold 0,0
factual_002,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,301,401,cross-model agreement,0.9726693180091036,DeepSeek-V4-Flash vs gpt-5.4,0.9722931049728798,Warm 1,1
factual_002,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,301,501,cross-model agreement,0.9762764967381226,DeepSeek-V4-Flash vs gpt-4.1-mini,0.975951471194024,Warm 1,1
factual_002,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,401,501,cross-model agreement,0.9723476679916654,gpt-4.1-mini vs gpt-5.4,0.9719641394436698,Warm 1,1
factual_002,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,601,701,cross-model agreement,0.9716939652190776,DeepSeek-V4-Flash vs gpt-5.4,0.971354986921946,Warm 2,2
factual_002,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,2,2,601,801,cross-model agreement,0.9754206523816458,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9751278813152777,Warm 2,2
factual_002,gpt-5.4,gpt-4.1-mini,warm,warm,2,2,701,801,cross-model agreement,0.9713570373424878,gpt-4.1-mini vs gpt-5.4,0.9710112549415865,Warm 2,2
factual_003,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,2,102,cross-model agreement,0.9647405364603541,DeepSeek-V4-Flash vs gpt-5.4,0.9642047863473777,Cold 0,0
factual_003,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,2,202,cross-model agreement,0.9693769372795603,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9689140708384789,Cold 0,0
factual_003,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,102,202,cross-model agreement,0.9642734376239417,gpt-4.1-mini vs gpt-5.4,0.9637255019199827,Cold 0,0
factual_003,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,302,402,cross-model agreement,0.9658290925931654,DeepSeek-V4-Flash vs gpt-5.4,0.9652618640264339,Warm 1,1
factual_003,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,302,502,cross-model agreement,0.9703325152971303,DeepSeek-V4-Flash vs gpt-4.1-mini,0.969842394699314,Warm 1,1
factual_003,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,402,502,cross-model agreement,0.9653819656611178,gpt-4.1-mini vs gpt-5.4,0.9648021563840422,Warm 1,1
factual_003,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,602,702,cross-model agreement,0.9646068424184556,DeepSeek-V4-Flash vs gpt-5.4,0.9640923321479643,Warm 2,2
factual_003,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,2,2,602,802,cross-model agreement,0.969259530140048,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9688151035254046,Warm 2,2
factual_003,gpt-5.4,gpt-4.1-mini,warm,warm,2,2,702,802,cross-model agreement,0.9641372659211231,gpt-4.1-mini vs gpt-5.4,0.9636109807576355,Warm 2,2
factual_004,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,3,103,cross-model agreement,0.976592106928096,DeepSeek-V4-Flash vs gpt-5.4,0.9761730424176084,Cold 0,0
factual_004,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,3,203,cross-model agreement,0.9797455993065223,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9793845937271402,Cold 0,0
factual_004,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,103,203,cross-model agreement,0.9763232241758413,gpt-4.1-mini vs gpt-5.4,0.9758965407788854,Cold 0,0
factual_004,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,303,403,cross-model agreement,0.9771480400200184,DeepSeek-V4-Flash vs gpt-5.4,0.9767106540634682,Warm 1,1
factual_004,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,303,503,cross-model agreement,0.980230080397786,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9798532622513134,Warm 1,1
factual_004,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,403,503,cross-model agreement,0.9768874205132274,gpt-4.1-mini vs gpt-5.4,0.9764422153244274,Warm 1,1
factual_004,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,603,703,cross-model agreement,0.976694701400039,DeepSeek-V4-Flash vs gpt-5.4,0.9762940802765742,Warm 2,2
factual_004,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,2,2,603,803,cross-model agreement,0.9798350203987922,DeepSeek-V4-Flash vs gpt-4.1-mini,0.979489963065109,Warm 2,2
factual_004,gpt-5.4,gpt-4.1-mini,warm,warm,2,2,703,803,cross-model agreement,0.9764273505265137,gpt-4.1-mini vs gpt-5.4,0.9760194348166342,Warm 2,2
factual_005,DeepSeek-V4-Flash,gpt-5.4,cold,cold,0,0,4,104,cross-model agreement,0.9609626582005155,DeepSeek-V4-Flash vs gpt-5.4,0.9603702104965868,Cold 0,0
factual_005,DeepSeek-V4-Flash,gpt-4.1-mini,cold,cold,0,0,4,204,cross-model agreement,0.9659709790101855,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9654578735553638,Cold 0,0
factual_005,gpt-5.4,gpt-4.1-mini,cold,cold,0,0,104,204,cross-model agreement,0.9606558298848283,gpt-4.1-mini vs gpt-5.4,0.9600585971272713,Cold 0,0
factual_005,DeepSeek-V4-Flash,gpt-5.4,warm,warm,1,1,304,404,cross-model agreement,0.9628779040529397,DeepSeek-V4-Flash vs gpt-5.4,0.9622615249215487,Warm 1,1
factual_005,DeepSeek-V4-Flash,gpt-4.1-mini,warm,warm,1,1,304,504,cross-model agreement,0.9676638764410149,DeepSeek-V4-Flash vs gpt-4.1-mini,0.9671301077434076,Warm 1,1
factual_005,gpt-5.4,gpt-4.1-mini,warm,warm,1,1,404,504,cross-model agreement,0.9625857566272317,gpt-4.1-mini vs gpt-5.4,0.961964407215939,Warm 1,1
factual_005,DeepSeek-V4-Flash,gpt-5.4,warm,warm,2,2,604,704,cross-model agreement,0.9603397172928594,DeepSeek-V4-Flash vs gpt-5.4,0.9597582404149265,Warm 2,2
